#-- GW Ori
#JD-2400000	[mag]
47031.4670  9.938
47032.4760  9.904
47034.4826  9.863
47035.4806  9.881
47036.4839  9.873
47037.4790  9.844
47039.4738  9.862
47041.4715  9.873
47042.4787  9.868
47043.4706  9.840
47045.4878  9.862
47048.4757  9.856
47049.4722  9.851
47050.4982  9.861
47052.4973  9.845
47055.4582  9.838
47056.4541  9.842
47061.4393  9.844
47065.4686  9.862
47066.4851  9.828
47071.4734  9.818
47072.4756  9.815
47109.5033  9.858
47116.5325  9.826
47132.5485  9.836
47133.3176  9.820
47135.5167  9.874
47141.5005  9.880
47146.5019  9.856
47152.4876  9.883
47165.3905  9.998
47166.4399  9.973
47171.2803 10.060
47173.2472  9.937
47392.4842  9.919
47393.4765  9.899
47394.4738  9.905
47395.4800  9.918
47397.4751  9.942
47400.4772  9.936
47401.4592  9.928
47402.4578  9.918
47403.4619  9.930
47404.4557  9.922
47407.4587  9.955
47408.4668  9.914
47409.4585  9.987
47410.4515  9.937
47411.4481  9.952
47413.4522  9.876
47414.4585  9.913
47415.4474  9.968
47416.4481  9.973
47417.4431  9.932
47418.4453  9.968
47420.4305 10.033
47421.4418 10.163
47422.4439 10.207
47423.4529 10.310
47425.4378 10.134
47427.4882 10.156
47428.4493 10.111
47429.4903 10.135
47430.4662 10.093
47431.4718 10.035
47432.4679  9.996
47433.4665  9.991
47435.4672  9.939
47436.4756  9.962
47443.4741  9.937
47447.3625  9.941
47448.3710  9.953
47449.3753  9.934
47452.3704  9.898
47454.3680  9.937
47455.3472  9.904
47458.3825  9.930
47459.3375  9.924
47460.3711  9.933
47462.3485  9.907
47464.3488  9.916
47465.3879  9.930
47467.3909  9.929
47469.3634  9.911
47473.3749  9.913
47476.4176  9.922
47481.4186  9.927
47482.3774  9.942
47483.3539  9.921
47490.3378  9.959
47491.2798  9.915
47498.3376  9.917
47499.2332  9.897
47503.4373  9.956
47505.3818  9.893
47507.3436  9.893
47517.4253  9.932
47521.3859  9.962
47537.3996  9.869
47540.3570  9.867
47543.3533  9.891
47549.3128  9.871
47767.4769 10.026
47768.4602 10.021
47770.4446  9.915
47771.4430  9.904
47772.4250  9.889
47773.4205  9.892
47774.4241  9.888
47775.4320  9.887
47776.4160  9.910
47777.4192  9.892
47778.4241  9.902
47778.4610  9.923
47779.4115  9.882
47781.4555  9.896
47783.4653  9.897
47784.4569  9.908
47785.4521  9.930
47787.4607  9.892
47788.4631  9.928
47791.4631  9.915
47794.4063  9.950
47796.4994  9.934
47797.4260  9.939
47798.4019  9.919
47803.4345  9.931
47805.4647  9.930
47806.4689  9.912
47807.4578  9.941
47812.4687  9.990
47815.4319 10.019
47816.4218  9.961
47817.4341  9.928
47818.4378  9.983
47819.4632  9.915
47833.4545  9.944
47834.4523  9.921
47836.4581  9.950
47839.4845  9.923
47843.4878  9.949
47853.4311  9.890
47854.4238  9.900
47860.4908  9.928
47872.3347  9.913
47873.3169  9.887
47880.3793  9.896
47881.3491  9.936
47885.3559  9.874
47887.3340  9.848
48135.4724  9.868
48136.4738  9.844
