w fl
3000.0054651 48370000.0
3000.0354653 48400000.0
3000.0654658 48380000.0
3000.0954666 48270000.0
3000.1254676 47960000.0
3000.155469 47380000.0
3000.1854707 46660000.0
3000.2154727 45980000.0
3000.2454749 45420000.0
3000.2754775 45010000.0
3000.3054804 44730000.0
3000.3354835 44570000.0
3000.365487 44530000.0
3000.3954908 44600000.0
3000.4254949 44760000.0
3000.4554992 45000000.0
3000.4855039 45310000.0
3000.5155089 45690000.0
3000.5455142 46100000.0
3000.5755197 46520000.0
3000.6055256 46930000.0
3000.6355318 47170000.0
3000.6655383 46960000.0
3000.6955451 46200000.0
3000.7255521 45070000.0
3000.7555595 43880000.0
3000.7855672 42850000.0
3000.8155752 42040000.0
3000.8455834 41460000.0
3000.875592 41100000.0
3000.9056009 40940000.0
3000.9356101 40990000.0
3000.9656195 41270000.0
3000.9956293 41770000.0
3001.0256394 42470000.0
3001.0556498 43290000.0
3001.0856604 44130000.0
3001.1156714 45020000.0
3001.1456827 46000000.0
3001.1756943 46940000.0
3001.2057061 47590000.0
3001.2357183 47890000.0
3001.2657308 47940000.0
3001.2957436 47920000.0
3001.3257567 47890000.0
3001.35577 47880000.0
3001.3857837 47890000.0
3001.4157977 47920000.0
3001.445812 47970000.0
3001.4758265 48050000.0
3001.5058414 48110000.0
3001.5358566 48070000.0
3001.5658721 47760000.0
3001.5958879 47080000.0
3001.6259039 46150000.0
3001.6559203 45220000.0
3001.685937 44440000.0
3001.715954 43840000.0
3001.7459713 43410000.0
3001.7759888 43090000.0
3001.8060067 42830000.0
3001.8360249 42570000.0
3001.8660434 42360000.0
3001.8960622 42300000.0
3001.9260812 42460000.0
3001.9561006 42870000.0
3001.9861203 43500000.0
3002.0161403 44330000.0
3002.0461606 45250000.0
3002.0761811 46040000.0
3002.106202 46540000.0
3002.1362232 46790000.0
3002.1662447 46940000.0
3002.1962665 47100000.0
3002.2262886 47310000.0
3002.2563109 47600000.0
3002.2863336 47940000.0
3002.3163566 48300000.0
3002.3463799 48550000.0
3002.3764035 48630000.0
3002.4064274 48630000.0
3002.4364515 48590000.0
3002.466476 48570000.0
3002.4965008 48550000.0
3002.5265259 48550000.0
3002.5565513 48530000.0
3002.586577 48520000.0
3002.616603 48520000.0
3002.6466292 48510000.0
3002.6766558 48510000.0
3002.7066827 48510000.0
3002.7367099 48520000.0
3002.7667374 48530000.0
3002.7967652 48560000.0
3002.8267933 48590000.0
3002.8568216 48630000.0
3002.8868503 48650000.0
3002.9168793 48570000.0
3002.9469086 48320000.0
3002.9769382 47890000.0
3003.0069681 47390000.0
3003.0369983 46930000.0
3003.0670288 46480000.0
3003.0970596 45950000.0
3003.1270907 45280000.0
3003.157122 44540000.0
3003.1871537 43830000.0
3003.2171857 43070000.0
3003.247218 42000000.0
3003.2772506 40500000.0
3003.3072835 38650000.0
3003.3373167 36780000.0
3003.3673502 35200000.0
3003.397384 34100000.0
3003.4274181 33490000.0
3003.4574525 33210000.0
3003.4874872 33170000.0
3003.5175222 33420000.0
3003.5475575 34050000.0
3003.5775931 35060000.0
3003.6076289 36300000.0
3003.6376651 37640000.0
3003.6677016 39090000.0
3003.6977384 40770000.0
3003.7277755 42670000.0
3003.7578129 44560000.0
3003.7878506 46090000.0
3003.8178886 47060000.0
3003.8479269 47510000.0
3003.8779655 47650000.0
3003.9080044 47700000.0
3003.9380436 47740000.0
3003.9680831 47790000.0
3003.9981229 47850000.0
3004.028163 47940000.0
3004.0582034 48040000.0
3004.0882441 48160000.0
3004.1182851 48300000.0
3004.1483264 48450000.0
3004.178368 48540000.0
3004.20841 48520000.0
3004.2384522 48330000.0
3004.2684947 48000000.0
3004.2985375 47620000.0
3004.3285806 47280000.0
3004.358624 47020000.0
3004.3886677 46820000.0
3004.4187117 46680000.0
3004.448756 46590000.0
3004.4788006 46530000.0
3004.5088455 46440000.0
3004.5388907 46270000.0
3004.5689362 46010000.0
3004.598982 45780000.0
3004.6290281 45660000.0
3004.6590746 45670000.0
3004.6891213 45820000.0
3004.7191683 46070000.0
3004.7492156 46300000.0
3004.7792632 46420000.0
3004.8093111 46480000.0
3004.8393593 46490000.0
3004.8694078 46370000.0
3004.8994567 46050000.0
3004.9295058 45630000.0
3004.9595552 45280000.0
3004.9896049 45100000.0
3005.0196549 45060000.0
3005.0497052 45030000.0
3005.0797559 44950000.0
3005.1098068 44850000.0
3005.139858 44810000.0
3005.1699095 44870000.0
3005.1999613 45020000.0
3005.2300135 45280000.0
3005.2600659 45640000.0
3005.2901186 46110000.0
3005.3201716 46700000.0
3005.3502249 47360000.0
3005.3802786 47960000.0
3005.4103325 48350000.0
3005.4403867 48500000.0
3005.4704412 48550000.0
3005.5004961 48550000.0
3005.5305512 48560000.0
3005.5606066 48570000.0
3005.5906623 48590000.0
3005.6207184 48610000.0
3005.6507747 48610000.0
3005.6808313 48600000.0
3005.7108882 48590000.0
3005.7409455 48580000.0
3005.771003 48580000.0
3005.8010608 48580000.0
3005.831119 48580000.0
3005.8611774 48580000.0
3005.8912361 48570000.0
3005.9212952 48560000.0
3005.9513545 48540000.0
3005.9814141 48520000.0
3006.0114741 48510000.0
3006.0415343 48500000.0
3006.0715948 48500000.0
3006.1016557 48500000.0
3006.1317168 48510000.0
3006.1617782 48530000.0
3006.19184 48550000.0
3006.221902 48560000.0
3006.2519644 48570000.0
3006.282027 48580000.0
3006.3120899 48590000.0
3006.3421532 48610000.0
3006.3722167 48630000.0
3006.4022806 48650000.0
3006.4323447 48650000.0
3006.4624091 48630000.0
3006.4924739 48610000.0
3006.5225389 48590000.0
3006.5526043 48580000.0
3006.5826699 48560000.0
3006.6127359 48550000.0
3006.6428021 48550000.0
3006.6728687 48550000.0
3006.7029355 48550000.0
3006.7330027 48550000.0
3006.7630701 48560000.0
3006.7931379 48570000.0
3006.8232059 48580000.0
3006.8532743 48600000.0
3006.8833429 48630000.0
3006.9134119 48660000.0
3006.9434811 48690000.0
3006.9735507 48700000.0
3007.0036205 48700000.0
3007.0336907 48700000.0
3007.0637612 48700000.0
3007.0938319 48700000.0
3007.123903 48690000.0
3007.1539743 48680000.0
3007.184046 48670000.0
3007.214118 48650000.0
3007.2441902 48640000.0
3007.2742628 48630000.0
3007.3043356 48630000.0
3007.3344088 48630000.0
3007.3644823 48630000.0
3007.394556 48630000.0
3007.4246301 48630000.0
3007.4547045 48620000.0
3007.4847791 48620000.0
3007.5148541 48600000.0
3007.5449294 48590000.0
3007.5750049 48590000.0
3007.6050808 48590000.0
3007.635157 48580000.0
3007.6652335 48580000.0
3007.6953102 48560000.0
3007.7253873 48540000.0
3007.7554647 48480000.0
3007.7855424 48390000.0
3007.8156203 48260000.0
3007.8456986 48140000.0
3007.8757772 48010000.0
3007.9058561 47820000.0
3007.9359352 47540000.0
3007.9660147 47260000.0
3007.9960945 47030000.0
3008.0261746 46870000.0
3008.056255 46770000.0
3008.0863356 46720000.0
3008.1164166 46710000.0
3008.1464979 46750000.0
3008.1765795 46830000.0
3008.2066614 46960000.0
3008.2367436 47150000.0
3008.2668261 47370000.0
3008.2969088 47580000.0
3008.3269919 47790000.0
3008.3570753 48030000.0
3008.387159 48300000.0
3008.417243 48520000.0
3008.4473273 48650000.0
3008.4774119 48680000.0
3008.5074968 48690000.0
3008.537582 48690000.0
3008.5676675 48680000.0
3008.5977533 48650000.0
3008.6278394 48610000.0
3008.6579258 48570000.0
3008.6880125 48530000.0
3008.7180995 48440000.0
3008.7481868 48180000.0
3008.7782744 47650000.0
3008.8083623 46900000.0
3008.8384505 46110000.0
3008.868539 45430000.0
3008.8986278 44870000.0
3008.9287169 44430000.0
3008.9588063 44060000.0
3008.988896 43800000.0
3009.018986 43670000.0
3009.0490763 43690000.0
3009.079167 43840000.0
3009.1092579 44100000.0
3009.1393491 44490000.0
3009.1694406 45000000.0
3009.1995324 45660000.0
3009.2296245 46430000.0
3009.2597169 47170000.0
3009.2898097 47690000.0
3009.3199027 47940000.0
3009.349996 48040000.0
3009.3800896 48110000.0
3009.4101835 48200000.0
3009.4402778 48290000.0
3009.4703723 48340000.0
3009.5004671 48360000.0
3009.5305622 48360000.0
3009.5606577 48370000.0
3009.5907534 48400000.0
3009.6208494 48420000.0
3009.6509457 48450000.0
3009.6810424 48470000.0
3009.7111393 48480000.0
3009.7412365 48460000.0
3009.7713341 48400000.0
3009.8014319 48320000.0
3009.83153 48220000.0
3009.8616285 48130000.0
3009.8917272 48070000.0
3009.9218262 48020000.0
3009.9519256 47980000.0
3009.9820252 47960000.0
3010.0121252 47960000.0
3010.0422254 47970000.0
3010.0723259 47990000.0
3010.1024268 48030000.0
3010.1325279 48060000.0
3010.1626294 48040000.0
3010.1927311 47850000.0
3010.2228332 47490000.0
3010.2529355 47030000.0
3010.2830382 46600000.0
3010.3131411 46240000.0
3010.3432444 45960000.0
3010.3733479 45750000.0
3010.4034518 45620000.0
3010.4335559 45560000.0
3010.4636604 45580000.0
3010.4937652 45660000.0
3010.5238702 45830000.0
3010.5539756 46070000.0
3010.5840812 46390000.0
3010.6141872 46810000.0
3010.6442935 47330000.0
3010.6744 47880000.0
3010.7045069 48320000.0
3010.734614 48560000.0
3010.7647215 48630000.0
3010.7948293 48640000.0
3010.8249373 48610000.0
3010.8550457 48540000.0
3010.8851544 48450000.0
3010.9152634 48360000.0
3010.9453726 48290000.0
3010.9754822 48230000.0
3011.0055921 48180000.0
3011.0357023 48150000.0
3011.0658127 48130000.0
3011.0959235 48120000.0
3011.1260346 48120000.0
3011.156146 48140000.0
3011.1862577 48170000.0
3011.2163696 48220000.0
3011.2464819 48270000.0
3011.2765945 48320000.0
3011.3067074 48380000.0
3011.3368206 48440000.0
3011.3669341 48470000.0
3011.3970479 48480000.0
3011.427162 48470000.0
3011.4572763 48460000.0
3011.487391 48460000.0
3011.517506 48440000.0
3011.5476213 48420000.0
3011.5777369 48400000.0
3011.6078528 48390000.0
3011.637969 48390000.0
3011.6680855 48390000.0
3011.6982023 48410000.0
3011.7283194 48440000.0
3011.7584368 48460000.0
3011.7885545 48480000.0
3011.8186725 48490000.0
3011.8487908 48490000.0
3011.8789095 48510000.0
3011.9090284 48510000.0
3011.9391476 48520000.0
3011.9692671 48540000.0
3011.9993869 48550000.0
3012.029507 48530000.0
3012.0596274 48440000.0
3012.0897481 48280000.0
3012.1198692 48070000.0
3012.1499905 47830000.0
3012.1801121 47630000.0
3012.210234 47460000.0
3012.2403563 47330000.0
3012.2704788 47250000.0
3012.3006016 47200000.0
3012.3307247 47190000.0
3012.3608482 47210000.0
3012.3909719 47250000.0
3012.4210959 47330000.0
3012.4512202 47450000.0
3012.4813449 47620000.0
3012.5114698 47820000.0
3012.541595 48040000.0
3012.5717206 48230000.0
3012.6018464 48270000.0
3012.6319726 48070000.0
3012.662099 47660000.0
3012.6922257 47200000.0
3012.7223528 46800000.0
3012.7524801 46500000.0
3012.7826078 46270000.0
3012.8127357 46120000.0
3012.842864 46030000.0
3012.8729925 45990000.0
3012.9031214 46020000.0
3012.9332505 46110000.0
3012.96338 46250000.0
3012.9935097 46460000.0
3013.0236398 46750000.0
3013.0537701 47130000.0
3013.0839008 47590000.0
3013.1140318 48040000.0
3013.144163 48360000.0
3013.1742946 48500000.0
3013.2044264 48530000.0
3013.2345586 48520000.0
3013.2646911 48510000.0
3013.2948238 48500000.0
3013.3249569 48500000.0
3013.3550903 48500000.0
3013.385224 48510000.0
3013.4153579 48520000.0
3013.4454922 48540000.0
3013.4756268 48550000.0
3013.5057617 48560000.0
3013.5358968 48560000.0
3013.5660323 48560000.0
3013.5961681 48560000.0
3013.6263042 48560000.0
3013.6564406 48580000.0
3013.6865772 48570000.0
