      wl    A1  A2  A3
      #microns
      0.12000000       32.274086       13.508902       13.508902
      0.12275596       31.140388       13.207981       13.207981
      0.12557522       29.980654       12.900150       12.900150
      0.12845923       28.794284       12.585249       12.585249
      0.13140947       27.865202       12.359751       12.359751
      0.13442747       27.232962       12.237135       12.237135
      0.13751479       26.586203       12.111703       12.111703
      0.14067300       25.924590       11.983390       11.983390
      0.14390375       25.247781       11.852131       11.852131
      0.14720870       24.555430       11.717857       11.717857
      0.15058955       23.945231       11.608942       11.608942
      0.15404805       23.795936       11.635288       11.635288
      0.15758597       23.643213       11.662239       11.662239
      0.16120515       23.486982       11.689809       11.689809
      0.16490745       23.327163       11.718013       11.718013
      0.16869478       23.163674       11.746863       11.746863
      0.17256909       22.996430       11.776377       11.776377
      0.17653237       22.825344       11.806568       11.806568
      0.18058668       22.761315       11.882145       11.882145
      0.18473411       23.366871       12.229682       12.229682
      0.18897678       23.986334       12.585201       12.585201
      0.19331689       24.620025       12.948884       12.948884
      0.19775668       25.268269       13.320920       13.320920
      0.20229843       25.988143       13.739113       13.739113
      0.20694450       26.781204       14.204463       14.204463
      0.21169726       27.592479       14.680500       14.680500
      0.21655918       28.422386       15.167470       15.167470
      0.22153276       27.746796       14.944801       14.944801
      0.22662057       26.419631       14.416284       14.416284
      0.23182522       25.061987       13.875629       13.875629
      0.23714941       23.673162       13.322557       13.322557
      0.24259587       22.468167       12.848467       12.848467
      0.24816742       21.477831       12.466480       12.466480
      0.25386693       20.464751       12.075721       12.075721
      0.25969733       19.428405       11.675987       11.675987
      0.26566164       18.849868       11.475531       11.475531
      0.27176292       18.284382       11.281871       11.281871
      0.27800433       17.705909       11.083763       11.083763
      0.28438909       17.291356       10.971381       10.971381
      0.29092047       16.949706       10.898407       10.898407
      0.29760186       16.600210       10.823758       10.823758
      0.30443670       16.242687       10.747394       10.747394
      0.31142851       15.876953       10.669276       10.669276
      0.31858089       15.502819       10.589364       10.589364
      0.32589754       15.120093       10.507616       10.507616
      0.33338223       14.822068       10.449511       10.449511
      0.34103881       14.633202       10.421737       10.421737
      0.34887124       14.439998       10.393325       10.393325
      0.35688355       14.242358       10.364260       10.364260
      0.36507987       14.039903       10.333735       10.333735
      0.37346443       13.804287       10.220185       10.220185
      0.38204156       13.563259       10.104027       10.104027
      0.39081567       13.316696       9.9852019       9.9852019
      0.39979129       13.064470       9.8636473       9.8636473
      0.40897305       12.806451       9.7393011       9.7393011
      0.41836568       12.542506       9.6120990       9.6120990
      0.42797402       12.272500       9.4819756       9.4819756
      0.43780304       11.996292       9.3488638       9.3488638
      0.44785779       11.725955       9.2084622       9.2084622
      0.45814346       11.452903       9.0636256       9.0636256
      0.46866536       11.173579       8.9154627       8.9154627
      0.47942890       10.887841       8.7638969       8.7638969
      0.49043965       10.595540       8.6088503       8.6088503
      0.50170327       10.296526       8.4502428       8.4502428
      0.51322558       9.9906448       8.2879926       8.2879926
      0.52501251       9.6777386       8.1220162       8.1220162
      0.53707015       9.3576461       7.9522279       7.9522279
      0.54940470       9.0302022       7.7785401       7.7785401
      0.56202254       8.8332633       7.6419380       7.6419380
      0.57493016       8.6387929       7.5042792       7.5042792
      0.58813423       8.4398563       7.3634589       7.3634589
      0.60164154       8.2363507       7.2194044       7.2194044
      0.61545907       8.0281714       7.0720416       7.0720416
      0.62959393       7.8152110       6.9212943       6.9212943
      0.64405343       7.5973597       6.7670850       6.7670850
      0.65884500       7.3745050       6.6093340       6.6093340
      0.67397628       7.1465323       6.4479600       6.4479600
      0.68945508       6.9133238       6.2828799       6.2828799
      0.70528937       6.6899813       6.1213955       6.1213955
      0.72148731       6.4925530       5.9712677       5.9712677
      0.73805726       6.2905904       5.8176921       5.8176921
      0.75500776       6.0839895       5.6605893       5.6605893
      0.77234756       5.8726437       5.4998784       5.4998784
      0.79008558       5.6564441       5.3354767       5.3354767
      0.80823099       5.4352791       5.1672991       5.1672991
      0.82679313       5.2090348       4.9952592       4.9952592
      0.84578157       4.9775945       4.8192681       4.8192681
      0.86520611       4.7408388       4.6392352       4.6392352
      0.88507676       4.4986457       4.4550675       4.4550675
      0.90540377       4.3316150       4.2893110       4.2893110
      0.92619762       4.2204192       4.1837087       4.1837087
      0.94746902       4.0577168       4.0756811       4.0756811
      0.96922895       3.9053976       3.9651726       3.9651726
      0.99148863       3.7595796       3.8521260       3.8521260
       1.0142595       3.6144427       3.7364832       3.7364832
       1.0375534       3.4746794       3.6181845       3.6181845
       1.0613822       3.3430885       3.4971689       3.4971689
       1.0857584       3.2212084       3.3733740       3.3733740
       1.1106943       3.0965285       3.2467359       3.2467359
       1.1362029       2.9789854       3.1171895       3.1171895
       1.1622974       2.8708104       2.9846678       2.9846678
       1.1889911       2.7630267       2.8491026       2.8491026
       1.2162980       2.6548083       2.7104240       2.7104240
       1.2442319       2.5530723       2.5685604       2.5685604
       1.2728074       2.4587702       2.4848278       2.4848278
       1.3020392       2.3638821       2.4150541       2.4150541
       1.3319423       2.2741731       2.3436780       2.3436780
       1.3625322       2.1924034       2.2706626       2.2706626
       1.3938247       2.1085259       2.1959704       2.1959704
       1.4258358       2.0283284       2.1195627       2.1195627
       1.4585820       1.9528360       2.0414003       2.0414003
       1.4920804       1.8758392       1.9614427       1.9614427
       1.5263481       1.8073038       1.8796488       1.8796488
       1.5614028       1.7371944       1.7959764       1.7959764
       1.5972625       1.6727374       1.7103823       1.7103823
       1.6339459       1.6060541       1.6228224       1.6228224
       1.6714717       1.5470565       1.5605128       1.5605128
       1.7098593       1.4901407       1.5176232       1.5176232
       1.7491286       1.4308713       1.4737485       1.4737485
       1.7892998       1.3807002       1.4288662       1.4288662
       1.8303935       1.3292131       1.3829531       1.3829531
       1.8724310       1.2775690       1.3359855       1.3359855
       1.9154340       1.2245660       1.2879393       1.2879393
       1.9594246       1.1805754       1.2387896       1.2387896
       2.0044254       1.1355745       1.1885111       1.1885111
       2.0504598       1.0895401       1.1370779       1.1370779
       2.0975515       1.0524484       1.0844635       1.0844635
       2.1457246       1.0142754       1.0306407       1.0306407
       2.1950042      0.97299670      0.97558182      0.97558182
       2.2454155      0.93620920      0.95077972      0.95077972
       2.2969845      0.90080924      0.92895511      0.92895511
       2.3497379      0.88829637      0.88829637      0.88829637
       2.4037029      0.87668311      0.87668311      0.87668311
       2.4589073      0.86480314      0.86480314      0.86480314
       2.5153795      0.85265032      0.85265032      0.85265032
       2.5731486      0.84021840      0.84021840      0.84021840
       2.6322445      0.82750096      0.82750096      0.82750096
       2.6926976      0.81449145      0.81449145      0.81449145
       2.7545392      0.80118315      0.80118315      0.80118315
       2.8178009      0.78756922      0.78756922      0.78756922
       2.8825156      0.77364262      0.77364262      0.77364262
       2.9487166      0.75939617      0.75939617      0.75939617
       3.0164379      0.74482254      0.74482254      0.74482254
       3.0857146      0.72991421      0.72991421      0.72991421
       3.1565823      0.71466348      0.71466348      0.71466348
       3.2290775      0.69906250      0.69906250      0.69906250
       3.3032377      0.68310322      0.68310322      0.68310322
       3.3791012      0.66677742      0.66677742      0.66677742
       3.4567069      0.65007667      0.65007667      0.65007667
       3.5360949      0.63299236      0.63299236      0.63299236
       3.6173062      0.62243749      0.62243749      0.62243749
       3.7003826      0.61310306      0.61310306      0.61310306
