   line             element
   5000.            Ni XVIII
   5000.183         Ne II   
   5000.2           Ca I    
   5000.2112        Fe I    
   5000.25          Ar I    
   5000.331         Ca I    
   5000.3427        Ni I    
   5000.402         Ne I     
   5000.492         Ca I     
   5000.515         Fe II    
   5000.528         Ni II    
   5000.677         O II     
   5000.68          N IV     
   5000.76          N IV     
   5000.760         Ca I     
   5000.794         Ca I     
   5000.8           Ca I     
   5000.851         N II     
   5001.            Na V     
   5001.026         Al II    
   5001.03          N III    
   5001.03          N III    
   5001.12          Ar I     
   5001.134         N II     
   5001.183         Ca I     
   5001.223         Ca I     
   5001.3           Ca I     
   5001.46          Na II    
   5001.46          Na II    
   5001.474         N II     
   5001.479         Ca II    
   5001.561         Fe II    
   5001.713         O II     
   5001.8           Ca I     
   5001.8           O I      
   5001.8363        Fe II    
   5001.8633        Fe I     
   5001.92          Ar I     
   5001.959         Fe II    
   5001.98          S IV     
   5002.06          O II     
   5002.06          O II     
   5002.060         Ca I     
   5002.07          O II     
   5002.133         Ca I     
   5002.2           Ca I     
   5002.306         Fe II    
   5002.381         Fe II    
   5002.402         Ni III   
   5002.489         Ca I     
   5002.5834        Fe I     
   5002.5862        Fe I     
   5002.593         O II     
   5002.593         O II     
   5002.66          Ca I     
   5002.673         Ni II    
   5002.7           Ca I     
   5002.703         N II     
   5002.7922        Fe I     
   5002.8           O I      
   5002.85          Ar I     
   5002.8561        Fe I     
   5002.866         Fe IV    
   5003.1           Ca I     
   5003.291         Ni II    
   5003.4           Ca I     
   5003.414         Ni II    
   5003.484         Fe IV    
   5003.49          N II     
   5003.5731        Ne I     
   5003.7           S I      
   5003.7           S I      
   5003.7           S I      
   5003.714         O II     
   5003.714         O II     
   5003.8           Ca I     
   5003.80          Ar I     
   5003.885         N II     
   5003.9           Ca I     
   5003.9           Ca I     
   5003.981         Ca I     
   5004.0987        Ar II    
   5004.195         Fe II    
   5004.2           Ca I     
   5004.208         Fe II    
   5004.2084        Fe I     
   5004.258         Ca I     
   5004.316         Ar I     
   5004.35          O VIII   
   5004.381         Ni II    
   5004.5           Ca I     
   5004.66          Fe III   
   5004.66          Fe III   
   5004.66          Fe III   
   5004.688         Ca I     
   5004.773         Fe II    
   5004.8           Ca I     
   5004.85          Ar I     
   5005.06          N I      
   5005.1           S I      
   5005.1           S I      
   5005.1           S I      
   5005.1           Ca I     
   5005.120         Ar I     
   5005.150         N II     
   5005.1581        Ne I     
   5005.2           S I      
   5005.2           S I      
   5005.2478        Ne I     
   5005.300         N II     
   5005.313         Ni III   
   5005.3380        Ne I     
   5005.39          Na II    
   5005.39          Na II    
   5005.4           Si XIII  
   5005.4           Ca I     
   5005.621         Ca III   
   5005.659         Ni II    
   5005.676         Ni III   
   5005.7           Mg I     
   5005.7           Mg I     
   5005.7123        Fe I     
   5005.8           Ca I     
   5005.8859        Ar II    
   5006.            Ar IX    
   5006.01          Ar I     
   5006.055         Ca I     
   5006.0586        Si I     
   5006.092         Ni II    
   5006.1111        Fe I     
   5006.1186        Fe I     
   5006.128         Ca I     
   5006.485         Ca I     
   5006.524         Ca I     
   5006.57          Al IV    
   5006.7           S I      
   5006.727         S II     
   5006.774         C I      
   5006.841         Fe II    
