   line      element
   500.0098  Mn I    
   500.0117  Ti I    
   500.0273  Cr I    
   500.0288  V I     
   500.0338  Ni I    
   500.0382  Er II   
   500.0383  Co II   
   500.0428  Cr I    
   500.0430  Nd II   
   500.0453  V I     
   500.0471  Mn I    
   500.0506  Sc I    
   500.0515  Fe II   
   500.0633  Co I    
   500.0743  Fe II   
   500.0866  Co I    
   500.0869  Zr II   
   500.0899  Mn II   
   500.0911  Co I    
   500.0959  Co I    
   500.0959  Nb I    
   500.0961  Cr I    
   500.1009  Ti I    
   500.1025  Tm I    
   500.1091  Mn I    
   500.1141  Lu I    
   500.1183  Ca I    
   500.1211  Sm II   
   500.1221  Ti I    
   500.1344  Sc I    
   500.1423  Fe I    
   500.1479  Ca II   
   500.1486  V I     
   500.1586  Tm I    
   500.1759  La I    
   500.1759  Co I    
   500.1814  Ca I    
   500.1834  Mn I    
   500.1862  Fe I    
   500.2042  Sc I    
   500.2090  V II    
   500.2097  Th I    
   500.2122  V I     
   500.2125  La II   
   500.2200  Co II   
   500.2242  Nb I    
   500.2297  Co II   
   500.2300  Cr II   
   500.2322  V I     
   500.2372  Co II   
   500.2440  Cr I    
   500.2460  Pr II   
   500.2540  V II    
   500.2560  Ti II   
   500.2582  Fe I    
   500.2663  Ca I    
   500.2698  V I     
   500.2700  Co I    
   500.2725  Ir I    
   500.2743  V I     
   500.2768  Ti I    
   500.2779  Ce II   
   500.2788  W I     
   500.2789  Fe I    
   500.2811  V II    
   500.2988  Mn I    
   500.3081  V II    
   500.3116  Co I    
   500.3226  Cr II   
   500.3326  Mn I    
   500.3429  Cr I    
   500.3556  Fe II   
   500.3567  V I     
   500.3572  V I     
   500.3734  Ni I    
   500.3739  Mn I    
   500.3762  Cr II   
   500.3843  Fe I    
   500.3867  Dy I    
   500.4037  Fe I    
   500.4078  Mn I    
   500.4193  Co I    
   500.4212  Fe I    
   500.4286  Dy II   
   500.4340  Fe I    
   500.4356  Cr I    
   500.4376  Cr I    
   500.4435  Y I     
   500.4441  Fe I    
   500.4591  Pr II   
   500.4690  Fe I    
   500.4779  Mn II   
   500.4784  Mn II   
   500.4810  Ce I    
   500.4892  Mn I    
   500.4980  V II    
   500.5060  Ti II   
   500.5087  Cr I    
   500.5107  Sc I    
   500.5157  Ti II   
   500.5255  Cr I    
   500.5300  Co I    
   500.5388  Ti I    
   500.5417  Pb I    
   500.5418  Co II   
   500.5458  Mn II   
   500.5511  Cr I    
   500.5516  Sc I    
   500.5593  Cr I    
   500.5616  V I     
   500.5669  Ti II   
   500.5711  Fe I    
   500.5719  V II    
   500.5731  Mn I    
   500.5733  Ti I    
   500.5739  Cr II   
   500.5786  Cr I    
   500.5809  Sc I    
   500.5824  Cr II   
   500.5869  Fe I    
   500.6009  Ca I    
   500.6059  Si I    
   500.6117  Fe I    
   500.6142  Ti I    
   500.6147  W I     
   500.6418  Ce I    
   500.6420  Ce I    
   500.6431  V I     
   500.6524  Sc I    
   500.6546  Fe I    
   500.6658  Ti I    
   500.6700  Fe I    
   500.6925  Mn II   
   500.6964  Y I     
   500.6992  Ca I    
   500.6995  Ti I    
   500.7000  C I     
   500.7105  Mn I    
   500.7209  Ti I    
   500.7234  Er I    
   500.7246  Fe I    
   500.7286  Co I    
   500.7293  Fe I    
   500.7381  Mn I    
   500.7529  Cr I    
   500.7611  Mo I    
   500.7657  V II    
   500.7705  Mn I    
   500.7728  Fe I    
   500.7740  Cr I    
   500.7961  V I     
   500.7968  V I     
   500.8058  Mn I    
   500.8190  Th II   
   500.8201  Cr II   
   500.8210  U II    
   500.8391  Ca I    
   500.8505  V I     
   500.8706  Ti I    
   500.8756  Cr I    
   500.9021  Mo I    
   500.9103  Ce I    
   500.9163  Ir I    
   500.9235  Mn I    
   500.9366  Sc I    
   500.9521  Yb II   
   500.9646  Ti I    
   500.9673  Ti I    
   500.9690  V I     
   500.9767  Tm II   
   500.9773  Cr I    
   501.0014  Cr III  
   501.0021  V I     
   501.0022  Ni I    
   501.0046  Ca I    
   501.0075  Mo I    
   501.0139  Cr I    
   501.0212  Ti II   
   501.0224  Mn I    
   501.0300  Fe I    
   501.0342  V II    
   501.0345  Mn I    
   501.0345  Co I    
   501.0375  V I     
   501.0388  Mn I    
   501.0589  Ti I    
   501.0589  Co II   
   501.0664  Mn II   
   501.0809  Mo I    
   501.0816  Gd II   
   501.0872  V I     
   501.0908  Sm I    
   501.0934  Ni I    
   501.1038  Cr I    
   501.1213  Fe I    
   501.1232  Ru I    
   501.1239  Fe I    
   501.1272  Ti I    
   501.1400  V I     
   501.1409  U I     
   501.1460  Sc I    
   501.1490  Zr I    
   501.1600  Mo I    
   501.1665  Nd II   
   501.1706  Ni II   
   501.1742  Gd I    
   501.1757  Mn I    
   501.1759  Ce II   
   501.1967  Fe I    
   501.2033  V II    
   501.2051  Co II   
   501.2067  Fe I    
   501.2071  Sc I    
   501.2121  V I     
   501.2153  Fe I    
   501.2257  V II    
   501.2325  Mo I    
   501.2345  V I     
   501.2438  Ni I    
   501.2441  Fe I    
   501.2511  Ce I    
   501.2528  Ta I    
   501.2683  Fe I    
   501.2797  Co II   
   501.2930  V II    
   501.2953  Cr I    
   501.3036  Cr I    
   501.3149  Eu I    
   501.3208  Ca I    
   501.3224  Mn II   
   501.3227  V II    
   501.3272  Nb I    
   501.3290  Cr I    
   501.3292  Ti I    
   501.3307  Cr I    
   501.3320  Co I    
   501.3330  Ti II   
   501.3415  Cr II   
   501.3425  Fe I    
   501.3558  Ca I    
   501.3579  V I     
   501.3618  Ni I    
   501.3677  Ti II   
   501.3730  Mn I    
   501.3777  Ce I    
   501.3928  V I     
   501.3974  Co II   
   501.4087  Sc I    
   501.4127  Sc I    
   501.4165  V I     
   501.4185  Ti I    
   501.4211  Ni I    
   501.4277  Ti I    
   501.4283  Ce I    
   501.4287  Ce I    
   501.4539  Nd I    
   501.4555  Tm II   
   501.4580  Mo I    
   501.4620  V I     
   501.4625  V I     
   501.4653  Cr I    
   501.4660  Cr I    
   501.4695  Cr I    
   501.4753  Mn II   
   501.4835  Ti I    
   501.4843  Fe I    
   501.4907  Co I    
   501.4937  V I     
   501.4941  Fe I    
   501.4947  Ru I    
   501.5002  Ir I    
   501.5010  Cr I    
   501.5049  Gd I    
   501.5131  Cr I    
   501.5148  Mn II   
   501.5224  V II    
   501.5287  Co I    
   501.5299  Ti I    
   501.5309  W I     
   501.5458  Nd II   
   501.5521  Fe II   
   501.5558  Pr II   
   501.5579  V I     
   501.5631  Mn I    
   501.5833  Cr I    
   501.5913  Cr II   
   501.5917  P I     
   501.5979  Mn I    
   501.6084  Co I    
   501.6153  Mo I    
   501.6162  Ti I    
   501.6220  Cr II   
   501.6220  Mn I    
   501.6381  Mn I    
   501.6476  Fe I    
   501.6479  Ce I    
   501.6480  Ce I    
   501.6548  Ce I    
   501.6605  Sm II   
   501.6615  V II    
   501.6629  Cu I    
   501.6655  Fe I    
   501.6673  V I     
   501.6684  Ca I    
   501.6709  Mn II   
   501.6731  V II    
   501.6761  Mo I    
   501.6767  Sc I    
   501.6816  Fe II   
   501.6845  Mo I    
   501.6911  Ti I    
   501.6975  Mn I    
   501.6978  Co II   
   501.7020  Ti I    
   501.7023  Ca I    
   501.7086  C I     
   501.7132  Fe II   
   501.7157  Mn I    
   501.7237  Mn I    
   501.7254  Th II   
   501.7371  Cr I    
   501.7381  Cr I    
   501.7383  Co I    
   501.7421  V II    
   501.7439  Mn I    
   501.7477  Sc I    
   501.7568  Ni I    
   501.7572  Mn I    
   501.7603  Ti I    
   501.7638  Mn I    
   501.7736  Nb I    
   501.7761  C I     
   501.7822  V I     
   501.7874  Tm II   
   501.7900  Mn I    
   501.7946  Ti I    
