T logg
2300 0.0
2300 0.5
2300 1.0
2300 1.5
2300 2.0
2300 2.5
2300 3.0
2300 3.5
2300 4.0
2300 4.5
2300 5.0
2300 5.5
2300 6.0
2400 0.0
2400 0.5
2400 1.0
2400 1.5
2400 2.0
2400 2.5
2400 3.0
2400 3.5
2400 4.0
2400 4.5
2400 5.0
2400 5.5
2400 6.0
2500 0.0
2500 0.5
2500 1.0
2500 1.5
2500 2.0
2500 2.5
2500 3.0
2500 3.5
2500 4.0
2500 4.5
2500 5.0
2500 5.5
2500 6.0
2600 0.0
2600 0.5
2600 1.0
2600 1.5
2600 2.0
2600 2.5
2600 3.0
2600 3.5
2600 4.0
2600 4.5
2600 5.0
2600 5.5
2600 6.0
2700 0.0
2700 0.5
2700 1.0
2700 1.5
2700 2.0
2700 2.5
2700 3.0
2700 3.5
2700 4.0
2700 4.5
2700 5.0
2700 5.5
2700 6.0
2800 0.0
2800 0.5
2800 1.0
2800 1.5
2800 2.0
2800 2.5
2800 3.0
2800 3.5
2800 4.0
2800 4.5
2800 5.0
2800 5.5
2800 6.0
2900 0.0
2900 0.5
2900 1.0
2900 1.5
2900 2.0
2900 2.5
2900 3.0
2900 3.5
2900 4.0
2900 4.5
2900 5.0
2900 5.5
2900 6.0
3000 0.0
3000 0.5
3000 1.0
3000 1.5
3000 2.0
3000 2.5
3000 3.0
3000 3.5
3000 4.0
3000 4.5
3000 5.0
3000 5.5
3000 6.0
3100 0.0
3100 0.5
3100 1.0
3100 1.5
3100 2.0
3100 2.5
3100 3.0
3100 3.5
3100 4.0
3100 4.5
3100 5.0
3100 5.5
3100 6.0
3200 0.0
3200 0.5
3200 1.0
3200 1.5
3200 2.0
3200 2.5
3200 3.0
3200 3.5
3200 4.0
3200 4.5
3200 5.0
3200 5.5
3200 6.0
3300 0.0
3300 0.5
3300 1.0
3300 1.5
3300 2.0
3300 2.5
3300 3.0
3300 3.5
3300 4.0
3300 4.5
3300 5.0
3300 5.5
3300 6.0
3400 0.0
3400 0.5
3400 1.0
3400 1.5
3400 2.0
3400 2.5
3400 3.0
3400 3.5
3400 4.0
3400 4.5
3400 5.0
3400 5.5
3400 6.0
3500 0.0
3500 0.5
3500 1.0
3500 1.5
3500 2.0
3500 2.5
3500 3.0
3500 3.5
3500 4.0
3500 4.5
3500 5.0
3500 5.5
3500 6.0
3600 0.0
3600 0.5
3600 1.0
3600 1.5
3600 2.0
3600 2.5
3600 3.0
3600 3.5
3600 4.0
3600 4.5
3600 5.0
3600 5.5
3600 6.0
3700 0.0
3700 0.5
3700 1.0
3700 1.5
3700 2.0
3700 2.5
3700 3.0
3700 3.5
3700 4.0
3700 4.5
3700 5.0
3700 5.5
3700 6.0
3800 0.0
3800 0.5
3800 1.0
3800 1.5
3800 2.0
3800 2.5
3800 3.0
3800 3.5
3800 4.0
3800 4.5
3800 5.0
3800 5.5
3800 6.0
3900 0.0
3900 0.5
3900 1.0
3900 1.5
3900 2.0
3900 2.5
3900 3.0
3900 3.5
3900 4.0
3900 4.5
3900 5.0
3900 5.5
3900 6.0
4000 0.0
4000 0.5
4000 1.0
4000 1.5
4000 2.0
4000 2.5
4000 3.0
4000 3.5
4000 4.0
4000 4.5
4000 5.0
4000 5.5
4000 6.0
4100 0.0
4100 0.5
4100 1.0
4100 1.5
4100 2.0
4100 2.5
4100 3.0
4100 3.5
4100 4.0
4100 4.5
4100 5.0
4100 5.5
4100 6.0
4200 0.0
4200 0.5
4200 1.0
4200 1.5
4200 2.0
4200 2.5
4200 3.0
4200 3.5
4200 4.0
4200 4.5
4200 5.0
4200 5.5
4200 6.0
4300 0.0
4300 0.5
4300 1.0
4300 1.5
4300 2.0
4300 2.5
4300 3.0
4300 3.5
4300 4.0
4300 4.5
4300 5.0
4300 5.5
4300 6.0
4400 0.0
4400 0.5
4400 1.0
4400 1.5
4400 2.0
4400 2.5
4400 3.0
4400 3.5
4400 4.0
4400 4.5
4400 5.0
4400 5.5
4400 6.0
4500 0.0
4500 0.5
4500 1.0
4500 1.5
4500 2.0
4500 2.5
4500 3.0
4500 3.5
4500 4.0
4500 4.5
4500 5.0
4500 5.5
4500 6.0
4600 0.0
4600 0.5
4600 1.0
4600 1.5
4600 2.0
4600 2.5
4600 3.0
4600 3.5
4600 4.0
4600 4.5
4600 5.0
4600 5.5
4600 6.0
4700 0.0
4700 0.5
4700 1.0
4700 1.5
4700 2.0
4700 2.5
4700 3.0
4700 3.5
4700 4.0
4700 4.5
4700 5.0
4700 5.5
4700 6.0
4800 0.0
4800 0.5
4800 1.0
4800 1.5
4800 2.0
4800 2.5
4800 3.0
4800 3.5
4800 4.0
4800 4.5
4800 5.0
4800 5.5
4800 6.0
4900 0.0
4900 0.5
4900 1.0
4900 1.5
4900 2.0
4900 2.5
4900 3.0
4900 3.5
4900 4.0
4900 4.5
4900 5.0
4900 5.5
4900 6.0
5000 0.0
5000 0.5
5000 1.0
5000 1.5
5000 2.0
5000 2.5
5000 3.0
5000 3.5
5000 4.0
5000 4.5
5000 5.0
5000 5.5
5000 6.0
5100 0.0
5100 0.5
5100 1.0
5100 1.5
5100 2.0
5100 2.5
5100 3.0
5100 3.5
5100 4.0
5100 4.5
5100 5.0
5100 5.5
5100 6.0
5200 0.0
5200 0.5
5200 1.0
5200 1.5
5200 2.0
5200 2.5
5200 3.0
5200 3.5
5200 4.0
5200 4.5
5200 5.0
5200 5.5
5200 6.0
5300 0.0
5300 0.5
5300 1.0
5300 1.5
5300 2.0
5300 2.5
5300 3.0
5300 3.5
5300 4.0
5300 4.5
5300 5.0
5300 5.5
5300 6.0
5400 0.0
5400 0.5
5400 1.0
5400 1.5
5400 2.0
5400 2.5
5400 3.0
5400 3.5
5400 4.0
5400 4.5
5400 5.0
5400 5.5
5400 6.0
5500 0.0
5500 0.5
